,experiment_type,test/acc,test/precision,test/recall,test/f1
0,exclude_function_words,0.7619047619047619,0.4600000000000001,0.44187211601845744,0.4474153381313866
0,exclude_function_words,0.75,0.4919747126436781,0.48031421665567997,0.4772235673930589
0,exclude_function_words,0.7261904761904762,0.4524145389570697,0.44337508239947265,0.36484244031830243
0,exclude_function_words,0.7559523809523809,0.5808080808080808,0.3418721160184575,0.3430757873129625
0,exclude_function_words,0.7559523809523809,0.675784543325527,0.506466710613052,0.563996185026228
0,exclude_function_words,0.7261904761904762,0.5102391874180865,0.39644254010107666,0.3993624947425344
0,exclude_function_words,0.7380952380952381,0.5596331738437001,0.49516809492419245,0.5160448179271708
0,exclude_function_words,0.7738095238095238,0.7760651629072681,0.5687958690397715,0.62452463961625
0,exclude_function_words,0.7678571428571429,0.6751332877648667,0.5428872775214238,0.578376268540203
0,exclude_function_words,0.7559523809523809,0.4907161803713528,0.4318721160184575,0.4028452874925904
