mean,ci_lower,ci_upper
0.6881832532307279,0.6601636439226178,0.716202862538838
0.8006450843130638,0.7725353431615595,0.8287548254645681
0.6097560975609756,0.5619520979380475,0.6575600971839037
0.6881832532307279,0.6601636439226178,0.716202862538838
0.578291242696224,0.5538235358520232,0.6027589495404249
0.6938662417444398,0.6563105408355905,0.7314219426532891
0.5,0.4674020183649931,0.5325979816350068
0.578291242696224,0.5538235358520232,0.6027589495404249
0.6724139367974985,0.6460615156520209,0.6987663579429761
0.7716421790128687,0.743130742456922,0.8001536155688154
0.5975609756097561,0.5656717304152197,0.6294502208042925
0.6724139367974985,0.6460615156520209,0.6987663579429761
0.4991054267330842,0.4633284481270371,0.5348824053391313
0.5970956595804466,0.5585546073871107,0.6356367117737826
0.4439024390243903,0.3862198265210924,0.5015850515276882
0.4991054267330842,0.4633284481270371,0.5348824053391313
0.59987441233863,0.5693002922637904,0.6304485324134697
0.6579827757799455,0.6210412469445138,0.6949243046153771
0.5658536585365853,0.4996835287197101,0.6320237883534605
0.59987441233863,0.5693002922637904,0.6304485324134697
0.6604305851527215,0.6263506680653741,0.6945105022400688
0.7832528203685272,0.7558185376452243,0.81068710309183
0.5756097560975609,0.5286741153299017,0.6225453968652201
0.6604305851527215,0.6263506680653741,0.6945105022400688
0.5727357250755706,0.5310007891496342,0.6144706610015069
0.762174760035541,0.7290123953894658,0.7953371246816161
0.4707317073170731,0.4110053970752688,0.5304580175588774
0.5727357250755706,0.5310007891496342,0.6144706610015069
0.6954654450454172,0.6793938884270627,0.7115370016637717
0.7762232914351107,0.7408331786938431,0.8116134041763783
0.6365853658536585,0.6011652149986445,0.6720055167086726
0.6954654450454172,0.6793938884270627,0.7115370016637717
0.6291261985309158,0.6094767381186602,0.6487756589431714
0.7562825696020312,0.718528706776178,0.7940364324278845
0.5439024390243902,0.5121568398087907,0.5756480382399897
0.6291261985309158,0.6094767381186602,0.6487756589431714
