,experiment_type,test/acc,test/precision,test/recall,test/f1
0,convert_connectives_to_dummy,0.8392857142857143,0.8302884615384615,0.7870336189848386,0.775594059518518
0,convert_connectives_to_dummy,0.8452380952380952,0.7569458128078818,0.6816677653263019,0.7027546714888486
0,convert_connectives_to_dummy,0.8511904761904762,0.8127823691460054,0.7878202592836739,0.7590134469444815
0,convert_connectives_to_dummy,0.8273809523809523,0.7295391705069124,0.7683080641617227,0.7134239486729012
0,convert_connectives_to_dummy,0.8333333333333334,0.7556923076923077,0.6688354207866403,0.6915189236766
0,convert_connectives_to_dummy,0.8809523809523809,0.7670868347338936,0.7442562074269391,0.7485314009661835
0,convert_connectives_to_dummy,0.8452380952380952,0.7142857142857142,0.6426983080641617,0.6566074276600592
0,convert_connectives_to_dummy,0.8333333333333334,0.6986458333333334,0.6839573720061525,0.6743925902084897
0,convert_connectives_to_dummy,0.8630952380952381,0.8663189269746645,0.8096220610854757,0.8203659814465167
0,convert_connectives_to_dummy,0.8333333333333334,0.7802884615384615,0.7670336189848386,0.7394596057370053
