,experiment_type,test/acc,test/precision,test/recall,test/f1
0,exclude_koso,0.8452380952380952,0.8650462962962961,0.7919116677653264,0.8062993565627089
0,exclude_koso,0.8630952380952381,0.8640896358543417,0.8308965062623599,0.8339203080164179
0,exclude_koso,0.8511904761904762,0.8583333333333332,0.79089650626236,0.8035064935064934
0,exclude_koso,0.8571428571428571,0.8630288836846214,0.7745001098659635,0.790558155044263
0,exclude_koso,0.8630952380952381,0.8617122990004347,0.7824544056251372,0.7949147431898524
0,exclude_koso,0.8630952380952381,0.8688172043010752,0.8065458141067896,0.818853129904444
0,exclude_koso,0.8690476190476191,0.7689430894308943,0.7314238628872776,0.7422053689659324
0,exclude_koso,0.8511904761904762,0.8633825944170772,0.7967897165458142,0.8098415062227422
0,exclude_koso,0.8273809523809523,0.8411730879815986,0.7265216435948143,0.7432104832104832
0,exclude_koso,0.8452380952380952,0.8481566820276498,0.714744012304988,0.733137760584569
