,experiment_type,test/acc,test/precision,test/recall,test/f1
0,convert_function_words_to_dummy,0.7619047619047619,0.783508036338225,0.5508327840035158,0.5950937530360438
0,convert_function_words_to_dummy,0.7678571428571429,0.6138236763236763,0.4205976708415733,0.4178601080756968
0,convert_function_words_to_dummy,0.7797619047619048,0.6462121212121212,0.4723994726433752,0.47413632119514465
0,convert_function_words_to_dummy,0.7738095238095238,0.5576904983801535,0.5723753021313998,0.5571667076409238
0,convert_function_words_to_dummy,0.8154761904761905,0.7112994350282487,0.6360184574818721,0.6134061135371178
0,convert_function_words_to_dummy,0.8214285714285714,0.7295232189610031,0.6139727532410459,0.6149114211666135
0,convert_function_words_to_dummy,0.7857142857142857,0.7193587786259543,0.6857196220610854,0.6646517119244392
0,convert_function_words_to_dummy,0.7916666666666666,0.6707053571428571,0.5034300153812349,0.5153177453939551
0,convert_function_words_to_dummy,0.7797619047619048,0.6797671169073125,0.6936497473082839,0.6441380349608198
0,convert_function_words_to_dummy,0.8035714285714286,0.6084819486733363,0.45294221050318617,0.4626742325040012
