,experiment_type,test/acc,test/precision,test/recall,test/f1
0,convert_content_words_to_dummy,0.7738095238095238,0.7164285714285714,0.5746890793232257,0.5733493947165577
0,convert_content_words_to_dummy,0.7976190476190477,0.7830987917555081,0.7075214238628873,0.7126706166337502
0,convert_content_words_to_dummy,0.7619047619047619,0.6585352269562796,0.3857196220610855,0.4121619728177105
0,convert_content_words_to_dummy,0.8095238095238095,0.8288537549407116,0.6672775214238629,0.6774801587301587
0,convert_content_words_to_dummy,0.7797619047619048,0.7388433515482696,0.5329026587563173,0.4911097486204782
0,convert_content_words_to_dummy,0.7857142857142857,0.719764705882353,0.4747044605581191,0.4967791229486145
0,convert_content_words_to_dummy,0.7797619047619048,0.6905717761557177,0.5144451768842013,0.47559627927158327
0,convert_content_words_to_dummy,0.7797619047619048,0.7200127877237852,0.4846890793232257,0.505937840030071
0,convert_content_words_to_dummy,0.75,0.5858957219251337,0.43596352450010983,0.4018507807981492
0,convert_content_words_to_dummy,0.7559523809523809,0.6790674603174602,0.4467347835640519,0.43045111750994103
