,experiment_type,test/acc,test/precision,test/recall,test/f1
0,ordinal_forms_shuffle,0.7440476190476191,0.5332356532356533,0.5236343660733904,0.5214088341326899
0,ordinal_forms_shuffle,0.7619047619047619,0.7321496212121212,0.5531465611953417,0.5971597120132685
0,ordinal_forms_shuffle,0.7678571428571429,0.5517397310069065,0.48571962206108543,0.49714470912331876
0,ordinal_forms_shuffle,0.7261904761904762,0.5549361861861861,0.46848824434190295,0.43063960970937715
0,ordinal_forms_shuffle,0.7321428571428571,0.6565674603174603,0.5349088112502747,0.5736148199526039
0,ordinal_forms_shuffle,0.7083333333333334,0.6990357350759582,0.5146165677872995,0.4366275880981763
0,ordinal_forms_shuffle,0.7261904761904762,0.6386363636363637,0.3661986376620523,0.362771784403663
0,ordinal_forms_shuffle,0.7261904761904762,0.6116419294990724,0.4777169852779609,0.46810313869137393
0,ordinal_forms_shuffle,0.7380952380952381,0.6692682926829268,0.588228960667985,0.6033032382328157
0,ordinal_forms_shuffle,0.7380952380952381,0.4421347486362966,0.2787958690397715,0.26977049180327867
