,experiment_type,test/acc,test/precision,test/recall,test/f1
0,exclude_mo,0.8452380952380952,0.7468595041322315,0.6545001098659635,0.6723615464994775
0,exclude_mo,0.8154761904761905,0.7594907407407407,0.7372775214238629,0.7275178439576667
0,exclude_mo,0.8452380952380952,0.8556752537080407,0.7678202592836739,0.7835782589521013
0,exclude_mo,0.8452380952380952,0.6345106861642295,0.5834695671281037,0.5968335160151017
0,exclude_mo,0.8214285714285714,0.8537648468998583,0.7542012744451768,0.7726170960187354
0,exclude_mo,0.8571428571428571,0.8253572470107903,0.7985915183476159,0.7931932773109244
0,exclude_mo,0.8452380952380952,0.7834920634920635,0.773713469567128,0.7548358099431296
0,exclude_mo,0.8571428571428571,0.7573359261059796,0.7563019116677653,0.711159277504105
0,exclude_mo,0.8511904761904762,0.7842857142857143,0.7726983080641617,0.752321713374345
0,exclude_mo,0.8392857142857143,0.7502742329622591,0.6585915183476159,0.6812885154061623
