epoch,loss,accuracy,precision,recall,f1
0,0.0017945865790049,0.7865168539325843,0.2676829268292683,0.3050522807595818,0.284273363921758
1,0.0015887754686762,0.8404494382022472,0.4210654536677239,0.4057372058987177,0.4097643065942377
2,0.0008520005905672,0.8831460674157303,0.472806256760767,0.476108559169593,0.4688945123745361
3,0.0002274205119868,0.907865168539326,0.4755456095481671,0.5488077902064608,0.5001446291747713
4,0.0001142158476489,0.9453183520599252,0.7139843000137118,0.7002555147794943,0.7020396959523825
5,4.459977749916498e-05,0.9670411985018726,0.9621630724240546,0.8375171996967854,0.8708043874682426
6,5.025656454348832e-05,0.9782771535580524,0.969428600245908,0.8452807028346776,0.8787595111546427
7,3.647379828303048e-05,0.9677902621722848,0.8288069531597013,0.8121676860011201,0.757191834874159
8,2.366122214144536e-05,0.9865168539325844,0.7631860474800058,0.7807219274526862,0.7715497325092089
9,1.5726105801844863e-05,0.9902621722846442,0.976426443926444,0.8344473730228825,0.8603302506781361
10,1.6856861339135564e-05,0.9917602996254682,0.9808333333333332,0.8882918465921268,0.9176408211105216
11,1.4491340019897128e-05,0.994007490636704,0.9931193263698234,0.9640096769863842,0.9777142435865084
12,1.1855121771717786e-05,0.994007490636704,0.98898714904691,0.9685719809498856,0.9778241911282548
13,1.123854402131802e-05,0.994007490636704,0.98898714904691,0.9685719809498856,0.9778241911282548
14,1.1255851796782864e-05,0.9940074906367041,0.9889871490469101,0.9685719809498856,0.9778241911282549
