,mean,bottom,up
test/acc,"0    0.839286
Name: test/acc, dtype: float64",[nan],[nan]
test/precision,"0    0.807206
Name: test/precision, dtype: float64",[nan],[nan]
test/recall,"0    0.762942
Name: test/recall, dtype: float64",[nan],[nan]
test/f1,"0    0.759665
Name: test/f1, dtype: float64",[nan],[nan]
