epoch,loss,accuracy,precision,recall,f1
0,0.0069932113426008,0.6337078651685393,0.2489804128154781,0.1825190550444629,0.1860998036649214
1,0.005538974451215,0.751310861423221,0.4224891774891775,0.2066660750482098,0.1864297883945037
2,0.0047079822990331,0.7490636704119851,0.3504518072289156,0.2024781206817135,0.1775627519833528
3,0.0042325022515286,0.748314606741573,0.1504518072289156,0.1994011976047904,0.1715021459227467
4,0.0039969568395436,0.7490636704119851,0.150375939849624,0.1996007984031936,0.1715265866209262
5,0.0038184691457712,0.749812734082397,0.1838224228743416,0.2005182295958541,0.1733858858858858
6,0.0037087429328804,0.749812734082397,0.1838224228743416,0.2005182295958541,0.1733858858858858
7,0.0036355922284644,0.749812734082397,0.1838224228743416,0.2005182295958541,0.1733858858858858
8,0.0035770715399181,0.749812734082397,0.1838224228743416,0.2005182295958541,0.1733858858858858
9,0.0035244030452399,0.749812734082397,0.1838224228743416,0.2005182295958541,0.1733858858858858
10,0.0034629564160264,0.749812734082397,0.1838224228743416,0.2005182295958541,0.1733858858858858
11,0.003446863429823172,0.751310861423221,0.22571590052750565,0.20235309198117526,0.17705726564251437
