2025-02-10 23:12:49,804 INFO    StreamThr :1130441 [internal.py:wandb_internal():85] W&B internal server running at pid: 1130441, started at: 2025-02-10 23:12:49.804538
2025-02-10 23:12:49,806 DEBUG   HandlerThread:1130441 [handler.py:handle_request():158] handle_request: status
2025-02-10 23:12:49,807 INFO    WriterThread:1130441 [datastore.py:open_for_write():87] open: /home/takuma-s/Desktop/discourse_relation_explainability/wandb/run-20250210_231249-9lsg6blh/run-9lsg6blh.wandb
2025-02-10 23:12:49,807 DEBUG   SenderThread:1130441 [sender.py:send():379] send: header
2025-02-10 23:12:49,808 DEBUG   SenderThread:1130441 [sender.py:send():379] send: run
2025-02-10 23:12:50,252 INFO    SenderThread:1130441 [dir_watcher.py:__init__():211] watching files in: /home/takuma-s/Desktop/discourse_relation_explainability/wandb/run-20250210_231249-9lsg6blh/files
2025-02-10 23:12:50,253 INFO    SenderThread:1130441 [sender.py:_start_run_threads():1188] run started: 9lsg6blh with start time 1739196769.804145
2025-02-10 23:12:50,257 DEBUG   HandlerThread:1130441 [handler.py:handle_request():158] handle_request: check_version
2025-02-10 23:12:50,257 DEBUG   SenderThread:1130441 [sender.py:send_request():406] send_request: check_version
2025-02-10 23:12:50,361 DEBUG   HandlerThread:1130441 [handler.py:handle_request():158] handle_request: run_start
2025-02-10 23:12:50,374 DEBUG   HandlerThread:1130441 [system_info.py:__init__():26] System info init
2025-02-10 23:12:50,374 DEBUG   HandlerThread:1130441 [system_info.py:__init__():41] System info init done
2025-02-10 23:12:50,374 INFO    HandlerThread:1130441 [system_monitor.py:start():194] Starting system monitor
2025-02-10 23:12:50,375 INFO    SystemMonitor:1130441 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-02-10 23:12:50,375 INFO    HandlerThread:1130441 [system_monitor.py:probe():214] Collecting system info
2025-02-10 23:12:50,375 INFO    SystemMonitor:1130441 [interfaces.py:start():188] Started cpu monitoring
2025-02-10 23:12:50,376 INFO    SystemMonitor:1130441 [interfaces.py:start():188] Started disk monitoring
2025-02-10 23:12:50,377 INFO    SystemMonitor:1130441 [interfaces.py:start():188] Started gpu monitoring
2025-02-10 23:12:50,377 INFO    SystemMonitor:1130441 [interfaces.py:start():188] Started memory monitoring
2025-02-10 23:12:50,378 INFO    SystemMonitor:1130441 [interfaces.py:start():188] Started network monitoring
2025-02-10 23:12:50,397 DEBUG   HandlerThread:1130441 [system_info.py:probe():152] Probing system
2025-02-10 23:12:50,402 DEBUG   HandlerThread:1130441 [system_info.py:_probe_git():137] Probing git
2025-02-10 23:12:50,417 DEBUG   HandlerThread:1130441 [system_info.py:_probe_git():145] Probing git done
2025-02-10 23:12:50,418 DEBUG   HandlerThread:1130441 [system_info.py:probe():200] Probing system done
