,experiment_type,test/acc,test/precision,test/recall,test/f1
0,convert_function_words_to_dummy,0.6666666666666666,0.8323353293413174,0.20487804878048782,0.16923603973963686
0,convert_function_words_to_dummy,0.7440476190476191,0.8300245098039216,0.3408415732805977,0.3797838336607796
0,convert_function_words_to_dummy,0.7678571428571429,0.5391211874377771,0.4536739178202593,0.4317226890756302
0,convert_function_words_to_dummy,0.7083333333333334,0.493993993993994,0.52614370468029,0.4183511242334772
0,convert_function_words_to_dummy,0.7857142857142857,0.6529436413157343,0.35678971654581415,0.3646153846153846
0,convert_function_words_to_dummy,0.6785714285714286,0.5321366531557614,0.39819819819819824,0.2708457711442786
0,convert_function_words_to_dummy,0.7797619047619048,0.5023013565891473,0.4483080641617227,0.4172146118721461
0,convert_function_words_to_dummy,0.8095238095238095,0.8844858554108667,0.4334695671281037,0.477862258953168
0,convert_function_words_to_dummy,0.7857142857142857,0.5697287839020122,0.3598659635245001,0.3489517018928784
0,convert_function_words_to_dummy,0.7797619047619048,0.6427083333333333,0.4934300153812349,0.41000143118122967
