epoch,loss,accuracy,precision,recall,f1
0,0.0017956713835398,0.7865168539325843,0.2676829268292683,0.3050522807595818,0.284273363921758
1,0.0015271719475363,0.8202247191011236,0.4040839669019693,0.4297850312078736,0.408876625864112
2,0.0005412194445338,0.8853932584269663,0.4578915319174367,0.506874240228083,0.4790867635620491
3,0.0001459901740823,0.9303370786516854,0.7151172933471333,0.6969631983135252,0.70572710343283
4,6.934933727153678e-05,0.950561797752809,0.7397214809109278,0.717249803246617,0.7250877436074499
5,6.0934059266070746e-05,0.9550561797752808,0.9510311915118153,0.7793687521619731,0.8329275548581754
6,4.630741778384434e-05,0.9782771535580524,0.9735779427359492,0.8696185932399743,0.9039847882132646
7,3.887911149290171e-05,0.9902621722846442,0.9872436690498988,0.9647026553808402,0.974994605965273
8,3.1975869173079394e-05,0.9857677902621724,0.7627256843331391,0.7891844257849862,0.7741636129940681
9,1.9043347229727644e-05,0.9917602996254682,0.997828232971372,0.9559772490506436,0.9758830156114844
10,1.5016545607858382e-05,0.99250936329588,0.9934559170202736,0.9614569842068056,0.9765696408481558
11,1.2701690155133773e-05,0.9932584269662922,0.9929175945568176,0.9630922457937234,0.977148937342337
12,1.0878760332750915e-05,0.994007490636704,0.9938492063492064,0.9632918465921269,0.9777065025555134
13,1.0138845301411125e-05,0.994007490636704,0.9938492063492064,0.9632918465921269,0.9777065025555134
14,9.888289095171158e-06,0.9940074906367041,0.9897162479667451,0.9678541505556282,0.977816451678214
