epoch,loss,accuracy,precision,recall,f1
,0.1200007633729414,0.4545454545454545,0.3333333333333333,0.5,0.3333333333333333
0.0,0.1820607618852095,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
1.0,0.159289771860296,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
2.0,0.138734990900213,0.5454545454545454,0.2888888888888888,0.3333333333333333,0.283076923076923
3.0,0.2037649371407248,0.4545454545454545,0.219047619047619,0.3,0.2342857142857143
4.0,0.3743666302074085,0.5454545454545454,0.3833333333333333,0.4666666666666667,0.34
5.0,0.2896489880301736,0.2727272727272727,0.1333333333333333,0.3333333333333333,0.1714285714285714
6.0,0.0978427908637307,0.5454545454545454,0.32,0.4833333333333333,0.3809523809523809
7.0,0.1988823413848877,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
8.0,0.141837098381736,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
9.0,0.1514062122865156,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
10.0,0.1693677035245028,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
11.0,0.1692927533929998,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
12.0,0.1449889269742098,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
13.0,0.1257230368527499,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
14.0,0.1912086660211736,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
15.0,0.1302756504579023,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
16.0,0.1562888080423528,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
17.0,0.1356439156965776,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
18.0,0.2079376090656627,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
19.0,0.1693349101326682,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
20.0,0.1525511958382346,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
21.0,0.1545758030631325,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
22.0,0.1756748936393044,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
23.0,0.197589484128085,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
24.0,0.1663348024541681,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
25.0,0.1660952568054199,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
26.0,0.1622639786113392,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
27.0,0.1622790206562389,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
28.0,0.1528011885556307,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
29.0,0.1673693115060979,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
30.0,0.1740934306924993,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
31.0,0.162750786001032,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
32.0,0.1823479262265292,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
33.0,0.1599503430453213,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
34.0,0.1540412686087868,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
35.0,0.1561684500087391,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
36.0,0.1821639321067116,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
37.0,0.1619296290657737,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
38.0,0.1542331413789228,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
39.0,0.1413057067177512,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
40.0,0.1720075173811479,0.3636363636363636,0.1666666666666666,0.35,0.2256410256410256
41.0,0.1520558378913185,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
42.0,0.1508166790008545,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
43.0,0.1427325552160089,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
44.0,0.1564292474226518,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
45.0,0.1607494570992209,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
46.0,0.1582460295070301,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
47.0,0.2301246469671076,0.3636363636363636,0.0727272727272727,0.2,0.1066666666666666
48.0,0.3419893438165838,0.5454545454545454,0.2888888888888888,0.3333333333333333,0.283076923076923
49.0,0.326309550892223,0.5454545454545454,0.2142857142857142,0.3333333333333333,0.2597402597402597
50.0,0.1720191890543157,0.5454545454545454,0.2333333333333333,0.3333333333333333,0.2666666666666666
51.0,0.3522898067127574,0.5454545454545454,0.2888888888888888,0.3333333333333333,0.283076923076923
52.0,0.329924388365312,0.6363636363636364,0.5,0.5333333333333333,0.4933333333333333
53.0,0.4181327386335893,0.5454545454545454,0.419047619047619,0.5,0.4342857142857143
54.0,0.4458804564042525,0.6363636363636364,0.4333333333333333,0.5333333333333333,0.4742857142857143
55.0,0.479839411648837,0.6363636363636364,0.4333333333333333,0.5333333333333333,0.4742857142857143
56.0,0.3983440399169922,0.4545454545454545,0.4133333333333333,0.4333333333333333,0.4222222222222222
57.0,0.4799265428022904,0.6363636363636364,0.4476190476190476,0.5333333333333333,0.4787878787878788
58.0,0.4663848443464799,0.6363636363636364,0.4476190476190476,0.5333333333333333,0.4787878787878788
59.0,0.4775647250088778,0.6363636363636364,0.4476190476190476,0.5333333333333333,0.4787878787878788
60.0,0.4926342097195712,0.6363636363636364,0.4476190476190476,0.5333333333333333,0.4787878787878788
