epoch,loss,accuracy,precision,recall,f1
0,0.0018304609180836,0.7947565543071161,0.2714542116792804,0.3072478895420168,0.2876689222320291
1,0.0013842487156614,0.8434456928838951,0.294033592935277,0.325246754198026,0.3088032357839638
2,0.0002412086596872,0.8883895131086142,0.4550484158441058,0.524948578495796,0.4736854043392505
3,0.0002747381168804,0.9138576779026216,0.4983197499162665,0.5410728014683407,0.5078267703635287
4,9.198526569296804e-05,0.951310861423221,0.6987992543183268,0.6450799741378217,0.6361918761247761
5,6.884807713804174e-05,0.9700374531835206,0.7487650119560445,0.7490291521000746,0.7475028978253497
6,7.350558645269844e-05,0.9752808988764043,0.9812120661771166,0.8912177771687194,0.9272425548957764
7,2.5036556067203316e-05,0.9902621722846442,0.983244022317604,0.8833303410318187,0.916618241784648
