,experiment_type,test/acc,test/precision,test/recall,test/f1
0,exclude_content_words,0.7619047619047619,0.7169181034482759,0.5000703142166556,0.43327935662663697
0,exclude_content_words,0.7738095238095238,0.5634625322997416,0.5798264117776313,0.5254341736694677
0,exclude_content_words,0.7738095238095238,0.7878163878163879,0.48778070753680514,0.558455047062642
0,exclude_content_words,0.7678571428571429,0.7584615384615384,0.6231465611953417,0.6594545890086769
0,exclude_content_words,0.7857142857142857,0.7452425373134328,0.4621555702043508,0.43390228818800247
0,exclude_content_words,0.7619047619047619,0.6501851851851852,0.49571962206108544,0.48162942748308596
0,exclude_content_words,0.7976190476190477,0.6986876640419947,0.5962623599208966,0.5846441042170294
0,exclude_content_words,0.7440476190476191,0.6493909909909911,0.4605735003295979,0.5095548519277332
0,exclude_content_words,0.7559523809523809,0.627569392348087,0.42314656119534166,0.4332051282051282
0,exclude_content_words,0.75,0.45166573086281114,0.3005976708415733,0.3108125624976853
