,experiment_type,test/acc,test/precision,test/recall,test/f1
0,exclude_particle,0.7976190476190477,0.7129096045197739,0.6475368050977808,0.6500361205455819
0,exclude_particle,0.7916666666666666,0.6976151121605667,0.654704460558119,0.6367664851784633
0,exclude_particle,0.8273809523809523,0.7446428571428572,0.7050032959789058,0.6870473887141394
0,exclude_particle,0.8095238095238095,0.6957264957264957,0.5388354207866403,0.4993140697070402
0,exclude_particle,0.7619047619047619,0.5927318295739348,0.49879586903977147,0.5247077897994001
0,exclude_particle,0.7797619047619048,0.769899785254116,0.6567501647989453,0.6309423327070386
0,exclude_particle,0.8035714285714286,0.7312248062015503,0.715475719622061,0.6791991341991342
0,exclude_particle,0.7916666666666666,0.7942018611309949,0.6634300153812349,0.6327903151432562
0,exclude_particle,0.7976190476190477,0.7198382749326145,0.6341924851680949,0.6353336970358247
0,exclude_particle,0.7916666666666666,0.570972667582837,0.6126587563172928,0.5684657773085721
