,experiment_type,test/acc,test/precision,test/recall,test/f1
0,convert_all_words_to_dummy,0.7083333333333334,0.75,0.29695451549110086,0.3163558951550056
0,convert_all_words_to_dummy,0.6666666666666666,0.37163197260520864,0.23256427158866186,0.22333965844402276
0,convert_all_words_to_dummy,0.6726190476190477,0.35048471290082023,0.22206108547571962,0.20529335071707955
0,convert_all_words_to_dummy,0.6964285714285714,0.5607142857142857,0.2659239727532411,0.27594684200261893
0,convert_all_words_to_dummy,0.6964285714285714,0.6035714285714286,0.2508020215337289,0.24109937063340842
0,convert_all_words_to_dummy,0.6845238095238095,0.5608974358974359,0.22258844210063722,0.20252985654724048
0,convert_all_words_to_dummy,0.6607142857142857,0.385510736504114,0.21538123489343003,0.20029359953024076
0,convert_all_words_to_dummy,0.6785714285714286,0.7007575757575758,0.25128982641177766,0.25552777930730686
0,convert_all_words_to_dummy,0.6607142857142857,0.5138698630136986,0.23973192704900023,0.2425765597545913
0,convert_all_words_to_dummy,0.6964285714285714,0.39657534246575343,0.23849703361898483,0.22710977865663073
