2024-06-15 12:40:02,600 DEBUG   HandlerThread:2242 [system_monitor.py:probe():223] {'os': 'Linux-6.1.85+-x86_64-with-glibc2.35', 'python': '3.10.12', 'heartbeatAt': '2024-06-15T12:40:02.529925', 'startedAt': '2024-06-15T12:39:59.978480', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'training_archival%20(2).ipynb', 'codePathLocal': None, 'colab': 'https://colab.research.google.com/notebook#fileId=1KeURd3H1xxkT43pV4UGj1h59sX4WpZWp', 'git': {'remote': 'https://github.com/takuma1229/discourse_relation_explainability.git', 'commit': '2c9bb632900e2af42d81d8f2dabd45368a793499'}, 'email': None, 'root': '/content/drive/MyDrive/research_discourse_relation/discourse_relation_explainability', 'host': '2fe5c37c71ae', 'username': 'root', 'executable': '/usr/bin/python3', 'cpu_count': 4, 'cpu_count_logical': 8, 'cpu_freq': {'current': 2199.998, 'min': 0.0, 'max': 0.0}, 'cpu_freq_per_core': [{'current': 2199.998, 'min': 0.0, 'max': 0.0}, {'current': 2199.998, 'min': 0.0, 'max': 0.0}, {'current': 2199.998, 'min': 0.0, 'max': 0.0}, {'current': 2199.998, 'min': 0.0, 'max': 0.0}, {'current': 2199.998, 'min': 0.0, 'max': 0.0}, {'current': 2199.998, 'min': 0.0, 'max': 0.0}, {'current': 2199.998, 'min': 0.0, 'max': 0.0}, {'current': 2199.998, 'min': 0.0, 'max': 0.0}], 'disk': {'/': {'total': 201.22513961791992, 'used': 28.237457275390625}}, 'gpu': 'Tesla T4', 'gpu_count': 1, 'gpu_devices': [{'name': 'Tesla T4', 'memory_total': 16106127360}], 'memory': {'total': 50.99364471435547}}
2024-06-15 12:40:02,600 INFO    HandlerThread:2242 [system_monitor.py:probe():224] Finished collecting system info
2024-06-15 12:40:02,600 INFO    HandlerThread:2242 [system_monitor.py:probe():227] Publishing system info
2024-06-15 12:40:02,605 INFO    HandlerThread:2242 [system_monitor.py:probe():229] Finished publishing system info
2024-06-15 12:40:02,606 DEBUG   SenderThread:2242 [sender.py:send():379] send: files
2024-06-15 12:40:02,606 INFO    SenderThread:2242 [sender.py:_save_file():1454] saving file wandb-metadata.json with policy now
2024-06-15 12:40:02,986 DEBUG   HandlerThread:2242 [handler.py:handle_request():158] handle_request: python_packages
2024-06-15 12:40:02,987 DEBUG   SenderThread:2242 [sender.py:send_request():406] send_request: python_packages
2024-06-15 12:40:02,988 DEBUG   HandlerThread:2242 [handler.py:handle_request():158] handle_request: stop_status
2024-06-15 12:40:02,989 DEBUG   HandlerThread:2242 [handler.py:handle_request():158] handle_request: internal_messages
