2025-02-16 19:57:44,194 INFO    StreamThr :1215767 [internal.py:wandb_internal():85] W&B internal server running at pid: 1215767, started at: 2025-02-16 19:57:44.193963
2025-02-16 19:57:44,195 DEBUG   HandlerThread:1215767 [handler.py:handle_request():158] handle_request: status
2025-02-16 19:57:44,196 INFO    WriterThread:1215767 [datastore.py:open_for_write():87] open: /home/takuma-s/Desktop/discourse_relation_explainability/wandb/run-20250216_195744-y0ixjnoo/run-y0ixjnoo.wandb
2025-02-16 19:57:44,196 DEBUG   SenderThread:1215767 [sender.py:send():379] send: header
2025-02-16 19:57:44,197 DEBUG   SenderThread:1215767 [sender.py:send():379] send: run
2025-02-16 19:57:44,752 INFO    SenderThread:1215767 [dir_watcher.py:__init__():211] watching files in: /home/takuma-s/Desktop/discourse_relation_explainability/wandb/run-20250216_195744-y0ixjnoo/files
2025-02-16 19:57:44,752 INFO    SenderThread:1215767 [sender.py:_start_run_threads():1188] run started: y0ixjnoo with start time 1739703464.193861
2025-02-16 19:57:44,756 DEBUG   HandlerThread:1215767 [handler.py:handle_request():158] handle_request: check_version
2025-02-16 19:57:44,756 DEBUG   SenderThread:1215767 [sender.py:send_request():406] send_request: check_version
2025-02-16 19:57:44,833 DEBUG   HandlerThread:1215767 [handler.py:handle_request():158] handle_request: run_start
2025-02-16 19:57:44,840 DEBUG   HandlerThread:1215767 [system_info.py:__init__():26] System info init
2025-02-16 19:57:44,840 DEBUG   HandlerThread:1215767 [system_info.py:__init__():41] System info init done
2025-02-16 19:57:44,840 INFO    HandlerThread:1215767 [system_monitor.py:start():194] Starting system monitor
2025-02-16 19:57:44,840 INFO    SystemMonitor:1215767 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-02-16 19:57:44,840 INFO    HandlerThread:1215767 [system_monitor.py:probe():214] Collecting system info
2025-02-16 19:57:44,841 INFO    SystemMonitor:1215767 [interfaces.py:start():188] Started cpu monitoring
2025-02-16 19:57:44,841 INFO    SystemMonitor:1215767 [interfaces.py:start():188] Started disk monitoring
2025-02-16 19:57:44,841 INFO    SystemMonitor:1215767 [interfaces.py:start():188] Started gpu monitoring
2025-02-16 19:57:44,842 INFO    SystemMonitor:1215767 [interfaces.py:start():188] Started memory monitoring
2025-02-16 19:57:44,842 INFO    SystemMonitor:1215767 [interfaces.py:start():188] Started network monitoring
2025-02-16 19:57:44,851 DEBUG   HandlerThread:1215767 [system_info.py:probe():152] Probing system
2025-02-16 19:57:44,852 DEBUG   HandlerThread:1215767 [system_info.py:_probe_git():137] Probing git
2025-02-16 19:57:44,856 DEBUG   HandlerThread:1215767 [system_info.py:_probe_git():145] Probing git done
2025-02-16 19:57:44,856 DEBUG   HandlerThread:1215767 [system_info.py:probe():200] Probing system done
