,experiment_type,test/acc,test/precision,test/recall,test/f1
0,exclude_ha_and_ga,0.8809523809523809,0.8742763772175536,0.8242562074269392,0.8328707609526024
0,exclude_ha_and_ga,0.875,0.8602508960573477,0.7832256646890793,0.793765174097966
0,exclude_ha_and_ga,0.8630952380952381,0.849020947176685,0.7796220610854757,0.7879111265140334
0,exclude_ha_and_ga,0.8333333333333334,0.8503125,0.733713469567128,0.7520847259287946
0,exclude_ha_and_ga,0.8392857142857143,0.8056910569105691,0.7780641617226983,0.7727034305116497
0,exclude_ha_and_ga,0.8333333333333334,0.7718028780885148,0.6719116677653264,0.7072268907563025
0,exclude_ha_and_ga,0.8392857142857143,0.8492837099394477,0.6996220610854758,0.7246433680768444
0,exclude_ha_and_ga,0.8392857142857143,0.82498687664042,0.7085915183476159,0.7127707420996566
0,exclude_ha_and_ga,0.8392857142857143,0.7559632395783675,0.7749879147440123,0.7480660349246082
0,exclude_ha_and_ga,0.8273809523809523,0.7378122690317812,0.6580641617226983,0.6775929775929775
