,experiment_type,test/acc,test/precision,test/recall,test/f1
0,normal,0.8273809523809523,0.8204741379310345,0.7019116677653263,0.7248007571229329
0,normal,0.8571428571428571,0.7831855136733186,0.6914238628872775,0.7251559251559252
0,normal,0.875,0.8674588284344381,0.7740123049879147,0.7846530961550217
0,normal,0.8333333333333334,0.8234120734908137,0.6767897165458142,0.6744234031640824
0,normal,0.8630952380952381,0.8692060430729669,0.7263019116677654,0.7560743919885551
0,normal,0.875,0.8727777777777778,0.804256207426939,0.8173593073593075
0,normal,0.8511904761904762,0.9016053511705685,0.7739573720061524,0.8064976583921768
0,normal,0.8273809523809523,0.7090243902439024,0.6580641617226983,0.6593700971783163
0,normal,0.8511904761904762,0.7608602150537634,0.7665458141067897,0.7246748576565777
0,normal,0.8571428571428571,0.8307990459153249,0.7803933201494178,0.7806467661691542
